"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 07, 2017","9,211.45","9,234.80","9,269.75","9,200.40","7.89M","-0.66%"
"Apr 06, 2017","9,272.25","9,254.80","9,283.00","9,231.00","7.80M","-0.15%"
"Apr 05, 2017","9,286.55","9,280.00","9,294.85","9,247.85","6.84M","-0.09%"
"Apr 04, 2017","9,295.25","9,288.00","9,310.50","9,274.25","-","0.35%"
"Apr 03, 2017","9,263.25","9,221.65","9,274.00","9,203.50","7.87M","0.71%"
"Mar 31, 2017","9,197.75","9,185.25","9,208.40","9,176.00","7.26M","0.26%"
"Mar 30, 2017","9,173.75","9,150.35","9,178.00","9,140.05","11.73M","0.34%"
"Mar 29, 2017","9,142.85","9,140.55","9,151.40","9,118.80","10.59M","0.36%"
"Mar 28, 2017","9,109.60","9,095.15","9,123.80","9,085.40","10.26M","0.46%"
"Mar 27, 2017","9,067.95","9,109.00","9,111.05","9,035.25","12.87M","-0.55%"
"Mar 24, 2017","9,118.30","9,117.85","9,146.60","9,099.50","7.04M","0.12%"
"Mar 23, 2017","9,107.65","9,068.25","9,121.40","9,061.05","7.29M","0.63%"
"Mar 22, 2017","9,050.40","9,081.00","9,130.00","9,045.00","10.66M","-1.01%"
"Mar 21, 2017","9,143.00","9,165.15","9,171.85","9,113.65","7.54M","-0.12%"
"Mar 20, 2017","9,153.55","9,164.95","9,164.95","9,142.00","5.51M","-0.20%"
"Mar 17, 2017","9,171.75","9,212.85","9,212.85","9,165.30","8.34M","-0.05%"
"Mar 16, 2017","9,176.15","9,156.00","9,181.25","9,152.10","7.45M","0.73%"
"Mar 15, 2017","9,109.30","9,116.20","9,130.00","9,101.50","5.52M","0.07%"
"Mar 14, 2017","9,103.00","9,145.00","9,158.00","9,077.60","14.27M","-0.85%"
"Mar 13, 2017","9,181.50","9,114.25","9,197.75","9,085.75","-","2.49%"
"Mar 10, 2017","8,958.70","8,975.00","9,002.90","8,916.40","8.63M","0.05%"
"Mar 09, 2017","8,954.50","8,923.00","8,977.80","8,912.65","6.98M","0.03%"
"Mar 08, 2017","8,952.10","8,974.00","8,980.00","8,907.65","8.91M","-0.25%"
"Mar 07, 2017","8,974.10","8,986.90","8,988.90","8,960.05","4.43M","-0.06%"
"Mar 06, 2017","8,979.15","8,935.00","8,985.00","8,928.45","6.94M","0.63%"
"Mar 03, 2017","8,922.80","8,884.00","8,933.00","8,872.70","8.31M","0.06%"
"Mar 02, 2017","8,917.20","9,001.00","9,018.30","8,898.25","11.01M","-0.66%"
"Mar 01, 2017","8,976.05","8,924.00","8,994.00","8,921.70","8.48M","0.75%"
"Feb 28, 2017","8,909.35","8,921.50","8,938.45","8,884.15","6.64M","-0.07%"
"Feb 27, 2017","8,915.75","8,939.95","8,957.10","8,909.00","7.07M","-0.20%"
"Feb 24, 2017","8,933.50","8,980.50","8,982.75","8,917.50","-","-0.07%"
"Feb 23, 2017","8,939.50","8,934.25","8,982.90","8,925.95","13.93M","0.22%"
"Feb 22, 2017","8,920.10","8,918.95","8,957.60","8,901.55","11.63M","0.11%"
"Feb 21, 2017","8,910.35","8,880.05","8,924.50","8,858.85","13.09M","0.41%"
"Feb 20, 2017","8,873.85","8,828.20","8,881.30","8,810.00","8.63M","0.53%"
"Feb 17, 2017","8,827.00","8,869.75","8,872.45","8,800.10","10.34M","0.45%"
"Feb 16, 2017","8,787.60","8,760.00","8,796.15","8,734.00","7.77M","0.51%"
"Feb 15, 2017","8,743.10","8,826.10","8,827.20","8,727.00","12.87M","-0.81%"
"Feb 14, 2017","8,814.85","8,824.00","8,830.00","8,786.10","6.71M","-0.01%"
"Feb 13, 2017","8,815.35","8,836.65","8,846.00","8,765.50","8.89M","0.07%"
